,country,state,density
252,US,Puerto Rico,404.0
253,US,Rhode Island,394.0
254,US,Massachusetts,336.0
255,US,Guam,314.0
256,US,Connecticut,286.0
257,US,Maryland,238.0
258,US,Delaware,187.0
259,US,New York,162.0
260,US,Florida,145.0
261,US,Pennsylvania,110.0
262,US,Ohio,109.0
263,US,California,97.0
264,US,Illinois,89.0
265,US,Hawaii,86.0
266,US,Virginia,81.0
267,US,North Carolina,79.0
268,US,Indiana,71.0
269,US,Georgia,68.0
270,US,Michigan,67.0
271,US,South Carolina,62.0
272,US,Tennessee,61.0
273,US,New Hampshire,57.0
274,US,Kentucky,43.0
275,US,Louisiana,41.0
276,US,Washington,41.0
277,US,Wisconsin,41.0
278,US,Texas,40.0
279,US,Alabama,37.0
280,US,Missouri,34.0
281,US,West Virginia,29.0
282,US,Minnesota,26.0
283,US,Vermont,26.0
284,US,Mississippi,24.0
285,US,Arizona,23.0
286,US,Arkansas,22.0
287,US,Oklahoma,22.0
288,US,Iowa,21.0
289,US,Colorado,20.0
290,US,Maine,16.0
291,US,Oregon,16.0
292,US,Utah,14.0
293,US,Kansas,14.0
294,US,Nevada,10.0
295,US,Nebraska,9.0
296,US,Idaho,7.0
297,US,New Mexico,6.0
298,US,South Dakota,4.0
299,US,North Dakota,4.0
300,US,Montana,2.0
301,US,Wyoming,2.0
302,US,Alaska,0.0
303,Australia,New South Wales,9.987660997194896
304,Australia,Queensland,2.7515261354750353
305,Australia,South Australia,1.6772997252844584
306,Australia,Tasmania,5.8868749862271095
307,Australia,Victoria,27.74925207336624
308,Australia,Western Australia,0.9920261182183882
309,Australia,Australian Capital Territory,180.96225614927906
310,Australia,Northern Territory,0.17319231067249918
311,Canada,Ontario,14.8
312,Canada,Quebec,6.0
313,Canada,British Columbia,5.0
314,Canada,Alberta,6.4
315,Canada,Manitoba,2.3
316,Canada,Saskatchewan,1.9
317,Canada,Nova Scotia,17.4
318,Canada,New Brunswick,10.5
319,Canada,Newfoundland and Labrador,1.4
320,Canada,Prince Edward Island,25.1
321,China,Anhui,425.91
322,China,Beijing,1167.4
323,China,Chongqing,350.5
324,China,Fujian,304.15
325,China,Guangdong,579.46
326,China,Gansu,56.29
327,China,Guangxi,195.02
328,China,Guizhou,197.42
329,China,Henan,563.01
330,China,Hubei,307.89
331,China,Hebei,382.81
332,China,Hainan,255.04
333,China,Hong Kong,6396.01
334,China,Heilongjiang,84.38
335,China,Hunan,312.77
336,China,Jilin,146.54
337,China,Jiangsu,766.66
338,China,Jiangxi,266.87
339,China,Liaoning,299.83
340,China,Macau,19044.82
341,China,Inner Mongolia,20.88
342,China,Ningxia,94.89
343,China,Qinghai,7.8
344,China,Sichuan,165.81
345,China,Shandong,622.84
346,China,Shanghai,3630.2
347,China,Shaanxi,181.55
348,China,Shanxi,228.48
349,China,Tianjin,1144.46
350,China,Xinjiang,13.13
351,China,Tibet,2.44
352,China,Yunnan,116.66
353,China,Zhejiang,533.59
354,France,French Guiana,3.0
355,France,French Polynesia,78.0
356,France,Guadeloupe,240.0
357,France,Martinique,329.0
358,France,Mayotte,693.0
359,France,New Caledonia,15.0
